Address,Args
/-stat/grpfaderbank,"(0,)"
/dca/1/fader,"(0.7546432018280029,)"
/dca/1/fader,"(0.7526881694793701,)"
/dca/1/fader,"(0.7517106533050537,)"
/dca/1/fader,"(0.7507331371307373,)"
/dca/2/fader,"(0.7663733959197998,)"
/dca/1/fader,"(0.7497556209564209,)"
/dca/1/fader,"(0.7487781047821045,)"
/dca/2/fader,"(0.764418363571167,)"
/dca/1/fader,"(0.7478005886077881,)"
/dca/2/fader,"(0.7634408473968506,)"
/dca/1/fader,"(0.7458455562591553,)"
/dca/2/fader,"(0.7624633312225342,)"
/dca/2/fader,"(0.7614858150482178,)"
/dca/1/fader,"(0.7438905239105225,)"
/dca/2/fader,"(0.7605082988739014,)"
/dca/1/fader,"(0.742913007736206,)"
/dca/2/fader,"(0.7585532665252686,)"
/dca/1/fader,"(0.7409579753875732,)"
/dca/2/fader,"(0.7546432018280029,)"
/dca/1/fader,"(0.7390029430389404,)"
/dca/2/fader,"(0.7507331371307373,)"
/dca/1/fader,"(0.7360703945159912,)"
/dca/2/fader,"(0.7468230724334717,)"
/dca/1/fader,"(0.7321603298187256,)"
/dca/2/fader,"(0.7438905239105225,)"
/dca/1/fader,"(0.7292277812957764,)"
/dca/2/fader,"(0.7399804592132568,)"
/dca/1/fader,"(0.7272727489471436,)"
/dca/2/fader,"(0.738025426864624,)"
/dca/1/fader,"(0.7262952327728271,)"
/dca/2/fader,"(0.7360703945159912,)"
/dca/1/fader,"(0.7253177165985107,)"
/dca/1/fader,"(0.7243402004241943,)"
/dca/1/fader,"(0.7233626842498779,)"
/dca/2/fader,"(0.7350928783416748,)"
/dca/1/fader,"(0.7204301357269287,)"
/dca/1/fader,"(0.7194526195526123,)"
/dca/2/fader,"(0.7341153621673584,)"
/dca/1/fader,"(0.7184750437736511,)"
/dca/2/fader,"(0.7311828136444092,)"
/dca/1/fader,"(0.7155424952507019,)"
/dca/2/fader,"(0.72825026512146,)"
/dca/1/fader,"(0.7135874629020691,)"
/dca/2/fader,"(0.7262952327728271,)"
/dca/1/fader,"(0.7096773982048035,)"
/dca/2/fader,"(0.7214076519012451,)"
/dca/1/fader,"(0.7077223658561707,)"
/dca/2/fader,"(0.7194526195526123,)"
/dca/1/fader,"(0.7057673335075378,)"
/dca/2/fader,"(0.7174975275993347,)"
/dca/1/fader,"(0.703812301158905,)"
/dca/2/fader,"(0.7165200114250183,)"
/dca/1/fader,"(0.7018572688102722,)"
/dca/2/fader,"(0.7145649790763855,)"
/dca/1/fader,"(0.7008797526359558,)"
/dca/2/fader,"(0.7126099467277527,)"
/dca/2/fader,"(0.7116324305534363,)"
/dca/1/fader,"(0.6999022364616394,)"
/dca/2/fader,"(0.7106549143791199,)"
/dca/1/fader,"(0.698924720287323,)"
/dca/2/fader,"(0.7096773982048035,)"
/dca/1/fader,"(0.6969696879386902,)"
/dca/2/fader,"(0.7086998820304871,)"
/dca/1/fader,"(0.6959921717643738,)"
/dca/2/fader,"(0.7067448496818542,)"
/dca/1/fader,"(0.6930596232414246,)"
/dca/2/fader,"(0.703812301158905,)"
/dca/1/fader,"(0.6911045908927917,)"
/dca/2/fader,"(0.7018572688102722,)"
/dca/1/fader,"(0.6891495585441589,)"
/dca/2/fader,"(0.6999022364616394,)"
/dca/1/fader,"(0.6881720423698425,)"
/dca/2/fader,"(0.6979472041130066,)"
/dca/1/fader,"(0.6862170100212097,)"
/dca/2/fader,"(0.6950146555900574,)"
/dca/1/fader,"(0.6842619776725769,)"
/dca/2/fader,"(0.694037139415741,)"
/dca/1/fader,"(0.6832844614982605,)"
/dca/2/fader,"(0.6930596232414246,)"
/dca/2/fader,"(0.6920821070671082,)"
/dca/1/fader,"(0.6823069453239441,)"
/dca/2/fader,"(0.6911045908927917,)"
/dca/1/fader,"(0.6813294291496277,)"
/dca/2/fader,"(0.6901270747184753,)"
/dca/1/fader,"(0.6803519129753113,)"
/dca/2/fader,"(0.6891495585441589,)"
/dca/2/fader,"(0.6881720423698425,)"
/dca/1/fader,"(0.6793743968009949,)"
/dca/2/fader,"(0.6871945261955261,)"
/dca/1/fader,"(0.6774193644523621,)"
/dca/1/fader,"(0.6754643321037292,)"
/dca/2/fader,"(0.6842619776725769,)"
/dca/1/fader,"(0.6735092997550964,)"
/dca/2/fader,"(0.6832844614982605,)"
/dca/1/fader,"(0.6715542674064636,)"
/dca/2/fader,"(0.6813294291496277,)"
/dca/1/fader,"(0.6705767512321472,)"
/dca/2/fader,"(0.6803519129753113,)"
/dca/1/fader,"(0.6695992350578308,)"
/dca/2/fader,"(0.6793743968009949,)"
/dca/1/fader,"(0.6686217188835144,)"
/dca/2/fader,"(0.6783968806266785,)"
/dca/1/fader,"(0.6656891703605652,)"
/dca/2/fader,"(0.6764418482780457,)"
/dca/1/fader,"(0.6647116541862488,)"
/dca/2/fader,"(0.6754643321037292,)"
/dca/2/fader,"(0.6744868159294128,)"
/dca/1/fader,"(0.6637341380119324,)"
/dca/1/fader,"(0.662756621837616,)"
/dca/2/fader,"(0.6735092997550964,)"
/dca/1/fader,"(0.6617791056632996,)"
/dca/2/fader,"(0.67253178358078,)"
/dca/1/fader,"(0.6608015894889832,)"
/dca/2/fader,"(0.6715542674064636,)"
/dca/1/fader,"(0.6598240733146667,)"
/dca/1/fader,"(0.6578690409660339,)"
/dca/2/fader,"(0.6695992350578308,)"
/dca/1/fader,"(0.6559139490127563,)"
/dca/2/fader,"(0.6686217188835144,)"
/dca/1/fader,"(0.6549364328384399,)"
/dca/2/fader,"(0.6656891703605652,)"
/dca/1/fader,"(0.6539589166641235,)"
/dca/2/fader,"(0.6647116541862488,)"
/dca/1/fader,"(0.6529814004898071,)"
/dca/2/fader,"(0.6637341380119324,)"
/dca/1/fader,"(0.6520038843154907,)"
/dca/2/fader,"(0.662756621837616,)"
/dca/1/fader,"(0.6510263681411743,)"
/dca/1/fader,"(0.6500488519668579,)"
/dca/2/fader,"(0.6608015894889832,)"
/dca/1/fader,"(0.6490713357925415,)"
/dca/2/fader,"(0.6598240733146667,)"
/dca/1/fader,"(0.6471163034439087,)"
/dca/2/fader,"(0.6588465571403503,)"
/dca/1/fader,"(0.6451612710952759,)"
/dca/2/fader,"(0.6559139490127563,)"
/dca/1/fader,"(0.6432062387466431,)"
/dca/2/fader,"(0.6549364328384399,)"
/dca/1/fader,"(0.6412512063980103,)"
/dca/2/fader,"(0.6529814004898071,)"
/dca/1/fader,"(0.6402736902236938,)"
/dca/2/fader,"(0.6510263681411743,)"
/dca/1/fader,"(0.6373411417007446,)"
/dca/2/fader,"(0.6490713357925415,)"
/dca/1/fader,"(0.6353861093521118,)"
/dca/2/fader,"(0.6471163034439087,)"
/dca/1/fader,"(0.633431077003479,)"
/dca/2/fader,"(0.6451612710952759,)"
/dca/1/fader,"(0.6324535608291626,)"
/dca/2/fader,"(0.6441837549209595,)"
/dca/1/fader,"(0.6314760446548462,)"
/dca/2/fader,"(0.6422287225723267,)"
/dca/1/fader,"(0.6295210123062134,)"
/dca/1/fader,"(0.628543496131897,)"
/dca/2/fader,"(0.6402736902236938,)"
/dca/1/fader,"(0.6275659799575806,)"
/dca/2/fader,"(0.6392961740493774,)"
/dca/1/fader,"(0.6265884637832642,)"
/dca/2/fader,"(0.638318657875061,)"
/dca/1/fader,"(0.6256109476089478,)"
/dca/2/fader,"(0.6363636255264282,)"
/dca/1/fader,"(0.6246334314346313,)"
/dca/1/fader,"(0.6236559152603149,)"
/dca/2/fader,"(0.6353861093521118,)"
/dca/1/fader,"(0.6226783990859985,)"
/dca/2/fader,"(0.633431077003479,)"
/dca/1/fader,"(0.6207233667373657,)"
/dca/2/fader,"(0.6324535608291626,)"
/dca/1/fader,"(0.6197458505630493,)"
/dca/1/fader,"(0.6187683343887329,)"
/dca/2/fader,"(0.6304985284805298,)"
/dca/1/fader,"(0.6177908182144165,)"
/dca/2/fader,"(0.6295210123062134,)"
/dca/2/fader,"(0.628543496131897,)"
/dca/1/fader,"(0.6168133020401001,)"
/dca/1/fader,"(0.6158357858657837,)"
/dca/2/fader,"(0.6275659799575806,)"
/dca/1/fader,"(0.6148582696914673,)"
/dca/2/fader,"(0.6265884637832642,)"
/dca/1/fader,"(0.6138807535171509,)"
/dca/2/fader,"(0.6256109476089478,)"
/dca/1/fader,"(0.6129032373428345,)"
/dca/2/fader,"(0.6246334314346313,)"
