Address,Args
/dca/8/on,"(1,)"
/dca/8/fader,"(0.0039100684225559235,)"
/dca/8/fader,"(0.006842619739472866,)"
/dca/8/fader,"(0.008797653950750828,)"
/dca/8/fader,"(0.013685239478945732,)"
/dca/8/fader,"(0.01661779172718525,)"
/dca/8/fader,"(0.01857282593846321,)"
/dca/8/fader,"(0.02346041053533554,)"
/dca/8/fader,"(0.02834799699485302,)"
/dca/8/fader,"(0.0332355834543705,)"
/dca/8/fader,"(0.03616813197731972,)"
/dca/8/fader,"(0.039100684225559235,)"
/dca/8/fader,"(0.04203323647379875,)"
/dca/8/fader,"(0.04496578872203827,)"
/dca/8/fader,"(0.045943304896354675,)"
/dca/8/fader,"(0.04789833724498749,)"
/dca/8/fader,"(0.05180840566754341,)"
/dca/8/fader,"(0.057673510164022446,)"
/dca/8/fader,"(0.06158357858657837,)"
/dca/8/fader,"(0.065493643283844,)"
/dca/8/fader,"(0.0674486830830574,)"
/dca/8/fader,"(0.07038123160600662,)"
/dca/8/fader,"(0.07331378012895584,)"
/dca/8/fader,"(0.07526881992816925,)"
/dca/8/fader,"(0.07820136845111847,)"
/dca/8/fader,"(0.08113391697406769,)"
/dca/8/fader,"(0.08504398912191391,)"
/dca/8/fader,"(0.09090909361839294,)"
/dca/8/fader,"(0.09677419066429138,)"
/dca/8/fader,"(0.1006842628121376,)"
/dca/8/fader,"(0.10557185113430023,)"
/dca/8/fader,"(0.10948191583156586,)"
/dca/8/fader,"(0.11143694818019867,)"
/dca/8/fader,"(0.11241446435451508,)"
/dca/8/fader,"(0.11436950415372849,)"
/dca/8/fader,"(0.11827956885099411,)"
/dca/8/fader,"(0.12023460119962692,)"
/dca/8/fader,"(0.12316715717315674,)"
/dca/8/fader,"(0.12512218952178955,)"
/dca/8/fader,"(0.1319648027420044,)"
/dca/8/fader,"(0.12903225421905518,)"
/dca/8/fader,"(0.1339198499917984,)"
/dca/8/fader,"(0.1348973661661148,)"
/dca/8/fader,"(0.13685239851474762,)"
/dca/8/fader,"(0.14076246321201324,)"
/dca/8/fader,"(0.14369501173496246,)"
/dca/8/fader,"(0.14662756025791168,)"
/dca/8/fader,"(0.1485826075077057,)"
/dca/8/fader,"(0.1505376398563385,)"
/dca/8/fader,"(0.15444770455360413,)"
/dca/8/fader,"(0.15933528542518616,)"
/dca/8/fader,"(0.16324535012245178,)"
/dca/8/fader,"(0.1671554297208786,)"
/dca/8/fader,"(0.17008797824382782,)"
/dca/8/fader,"(0.17302052676677704,)"
