

Appendix – Channel EQ gain –121 lin scale values – [‐15, 15, 0.250] 
 
The data is presented as [float, hex value] couples 
 
‐15.00  C1700000 
‐14.75  C16C0000 
‐14.50  C1680000 
‐14.25  C1640000 
‐14.00  C1600000 
‐13.75  C15C0000 
‐13.50  C1580000 
‐13.25  C1540000 
‐13.00  C1500000 
‐12.75  C14C0000 
‐12.50  C1480000 
‐12.25  C1440000 
‐12.00  C1400000 
‐11.75  C13C0000 
‐11.50  C1380000 
‐11.25  C1340000 
‐11.00  C1300000 
‐10.75  C12C0000 
‐10.50  C1280000 
‐10.25  C1240000 
‐10.00  C1200000 
‐9.75  C11C0000 
‐9.50  C1180000 
‐9.25  C1140000 
‐9.00  C1100000 
‐8.75  C10C0000 
‐8.50  C1080000 
‐8.25  C1040000 
‐8.00  C1000000 
‐7.75  C0F80000 
‐7.50  C0F00000 
‐7.25  C0E80000 
‐7.00  C0E00000  
‐6.75  C0D80000 
‐6.50  C0D00000 
‐6.25  C0C80000 
‐6.00  C0C00000 
‐5.75  C0B80000 
‐5.50  C0B00000 
‐5.25  C0A80000 
‐5.00  C0A00000 
‐4.75  C0980000 
‐4.50  C0900000 
‐4.25  C0880000 
‐4.00  C0800000 
‐3.75  C0700000 
‐3.50  C0600000 
‐3.25  C0500000 
‐3.00  C0400000 
‐2.75  C0300000 
‐2.50  C0200000 
‐2.25  C0100000 
‐2.00  C0000000 
‐1.75  BFE00000 
‐1.50  BFC00000 
‐1.25  BFA00000 
‐1.00  BF800000 
‐0.75  BF400000 
‐0.50  BF000000 
‐0.25  BE800000 
0.00  00000000 
0.25  3E800000 
0.50  3F000000 
0.75  3F400000 
1.00  3F800000 
1.25  3FA00000  
1.50  3FC00000 
1.75  3FE00000 
2.00  40000000 
2.25  40100000 
2.50  40200000 
2.75  40300000 
3.00  40400000 
3.25  40500000 
3.50  40600000 
3.75  40700000 
4.00  40800000 
4.25  40880000 
4.50  40900000 
4.75  40980000 
5.00  40A00000 
5.25  40A80000 
5.50  40B00000 
5.75  40B80000 
6.00  40C00000 
6.25  40C80000 
6.50  40D00000 
6.75  40D80000 
7.00  40E00000 
7.25  40E80000 
7.50  40F00000 
7.75  40F80000 
8.00  41000000 
8.25  41040000 
8.50  41080000 
8.75  410C0000 
9.00  41100000 

9.25  41140000 
9.50  41180000  
9.75  411C0000 
10.00  41200000 
10.25  41240000 
10.50  41280000 
10.75  412C0000 
11.00  41300000 
11.25  41340000 
11.50  41380000 
11.75  413C0000 
12.00  41400000 
12.25  41440000 
12.50  41480000 
12.75  414C0000 
13.00  41500000 
13.25  41540000 
13.50  41580000 
13.75  415C0000 
14.00  41600000 
14.25  41640000 
14.50  41680000 
14.75  416C0000 
15.00  41700000  
 
