Frequency Band,dB Value
Band 20,-126.7421875
Band 21,-125.4609375
Band 22,-124.1640625
Band 24,-122.8671875
Band 26,-121.5078125
Band 28,-120.125
Band 30,-118.734375
Band 32,-117.328125
Band 34,-115.9296875
Band 36,-114.5
Band 39,-113.09375
Band 42,-111.453125
Band 45,-109.5859375
Band 48,-107.6328125
Band 52,-105.53125
Band 55,-103.453125
Band 59,-101.1171875
Band 63,-98.140625
Band 68,-93.2734375
Band 73,-89.125
Band 78,-85.265625
Band 84,-80.6171875
Band 90,-75.796875
Band 96,-71.640625
Band 103,-67.9140625
Band 110,-64.984375
Band 118,-63.7578125
Band 127,-63.4296875
Band 136,-61.9296875
Band 146,-61.2421875
Band 156,-62.1328125
Band 167,-64.328125
Band 179,-72.875
Band 192,-67.7421875
Band 206,-63.25
Band 221,-59.7421875
Band 237,-59.59375
Band 254,-69.984375
Band 272,-80.3125
Band 292,-77.421875
Band 313,-71.078125
Band 335,-68.609375
Band 359,-68.671875
Band 385,-75.1796875
Band 412,-72.1796875
Band 442,-67.53125
Band 474,-63.6953125
Band 508,-65.6015625
Band 544,-72.8515625
Band 583,-72.6484375
Band 625,-60.7890625
Band 670,-55.3828125
Band 718,-59.859375
Band 769,-66.7578125
Band 825,-57.8828125
Band 884,-55.8515625
Band 947,-63.5234375
Band 1020,-62.8125
Band 1090,-60.4296875
Band 1170,-65.640625
Band 1250,-61.734375
Band 1340,-62.53125
Band 1440,-60.453125
Band 1540,-61.734375
Band 1650,-61.0546875
Band 1770,-60.0859375
Band 1890,-66.5
Band 2030,-65.546875
Band 2180,-66.515625
Band 2330,-64.390625
Band 2500,-65.7109375
Band 2680,-69.390625
Band 2870,-67.6953125
Band 3080,-70.0390625
Band 3300,-66.015625
Band 3540,-67.8125
Band 3790,-63.6484375
Band 4060,-65.6015625
Band 4350,-67.8515625
Band 4670,-61.890625
Band 5000,-62.5
Band 5360,-65.1328125
Band 5740,-59.9375
Band 6160,-60.9453125
Band 6600,-62.765625
Band 7070,-62.890625
Band 7580,-63.1640625
Band 8120,-63.1875
Band 8710,-69.8828125
Band 9330,-73.171875
Band 10000,-71.140625
Band 10720,-69.3984375
Band 11490,-81.0390625
Band 12310,-79.4609375
Band 13200,-84.15625
Band 14140,-89.2578125
Band 15160,-94.2734375
Band 16250,-104.328125
Band 17410,-107.3046875
Band 18660,-106.9453125
