Frequency Band,dB Value
20,-128.0
21,-128.0
22,-128.0
24,-128.0
26,-128.0
28,-128.0
30,-128.0
32,-128.0
34,-128.0
36,-128.0
39,-128.0
42,-128.0
45,-128.0
48,-127.3828125
52,-119.515625
55,-102.828125
59,-108.6171875
63,-120.0078125
68,-121.265625
73,-119.921875
78,-128.0
84,-116.4609375
90,-112.9453125
96,-108.9296875
103,-112.265625
110,-96.5390625
118,-104.6328125
127,-106.5703125
136,-96.9296875
146,-84.625
156,-87.4140625
167,-76.7421875
179,-84.609375
192,-90.765625
206,-92.984375
221,-79.359375
237,-85.8046875
254,-81.25
272,-85.7890625
292,-82.5859375
313,-67.453125
335,-61.0546875
359,-74.6875
385,-83.3359375
412,-62.2578125
442,-60.359375
474,-75.0
508,-74.7890625
544,-77.21875
583,-83.734375
625,-73.7421875
670,-67.0
718,-77.6953125
769,-79.8515625
825,-65.96875
884,-64.109375
947,-71.828125
1000.02,-65.0859375
1000.09,-73.5859375
1000.17,-78.5078125
1000.25,-66.078125
1000.34,-67.046875
1000.44,-72.40625
1000.54,-73.8046875
1000.65,-71.5546875
1000.77,-71.3125
1000.89,-76.703125
2000.03,-69.4140625
2000.18,-72.8203125
2000.33,-70.5
2000.5,-73.03125
2000.68,-66.0078125
2000.87,-68.34375
3000.08,-72.5703125
3000.3,-69.4140625
3000.54,-63.140625
3000.79,-69.6484375
4000.06,-73.390625
4000.35,-70.828125
4000.67,-74.0078125
5000.0,-71.28125
5000.36,-75.4609375
5000.74,-78.390625
6000.16,-80.53125
6000.6,-81.5078125
7000.07,-80.1015625
7000.58,-82.0
8000.12,-83.0078125
8000.71,-77.8515625
9000.33,-74.28125
10000.0,-76.5234375
10000.72,-80.3125
11000.49,-86.359375
12000.31,-89.2109375
13000.2,-98.8671875
14000.14,-95.7109375
15000.16,-101.9765625
16000.25,-106.34375
17000.41,-108.0859375
18000.66,-106.6171875
