Frequency Band,dB Value
20,-128.0
21,-128.0
22,-128.0
24,-128.0
26,-128.0
28,-128.0
30,-128.0
32,-128.0
34,-128.0
36,-128.0
39,-128.0
42,-128.0
45,-128.0
48,-127.3828125
52,-119.515625
55,-102.828125
59,-108.6171875
63,-120.0078125
68,-121.265625
73,-119.921875
78,-128.0
84,-116.4609375
90,-112.9453125
96,-108.9296875
103,-112.265625
110,-96.5390625
118,-104.6328125
127,-106.5703125
136,-96.9296875
146,-84.625
156,-87.4140625
167,-76.7421875
179,-84.609375
192,-90.765625
206,-92.984375
221,-79.359375
237,-85.8046875
254,-81.25
272,-85.7890625
292,-82.5859375
313,-67.453125
335,-61.0546875
359,-74.6875
385,-83.3359375
412,-62.2578125
442,-60.359375
474,-75.0
508,-74.7890625
544,-77.21875
583,-83.734375
625,-73.7421875
670,-67.0
718,-77.6953125
769,-79.8515625
825,-65.96875
884,-64.109375
947,-71.828125
1.02,-65.0859375
1.09,-73.5859375
1.17,-78.5078125
1.25,-66.078125
1.34,-67.046875
1.44,-72.40625
1.54,-73.8046875
1.65,-71.5546875
1.77,-71.3125
1.89,-76.703125
2.03,-69.4140625
2.18,-72.8203125
2.33,-70.5
2.5,-73.03125
2.68,-66.0078125
2.87,-68.34375
3.08,-72.5703125
3.3,-69.4140625
3.54,-63.140625
3.79,-69.6484375
4.06,-73.390625
4.35,-70.828125
4.67,-74.0078125
5.0,-71.28125
5.36,-75.4609375
5.74,-78.390625
6.16,-80.53125
6.6,-81.5078125
7.07,-80.1015625
7.58,-82.0
8.12,-83.0078125
8.71,-77.8515625
9.33,-74.28125
10.0,-76.5234375
10.72,-80.3125
11.49,-86.359375
12.31,-89.2109375
13.2,-98.8671875
14.14,-95.7109375
15.16,-101.9765625
16.25,-106.34375
17.41,-108.0859375
18.66,-106.6171875
20,-128.0
21,-128.0
22,-128.0
24,-128.0
26,-128.0
28,-128.0
30,-128.0
32,-128.0
34,-128.0
36,-128.0
39,-128.0
42,-128.0
45,-127.8046875
48,-126.546875
52,-123.5
55,-115.140625
59,-119.5390625
63,-121.90625
68,-120.3203125
73,-119.296875
78,-128.0
84,-123.2890625
90,-119.265625
96,-109.1875
103,-124.9140625
110,-103.9453125
118,-107.3515625
127,-108.828125
136,-90.640625
146,-82.4296875
156,-83.390625
167,-75.09375
179,-73.2890625
192,-63.515625
206,-65.671875
221,-76.0390625
237,-88.2890625
254,-75.1015625
272,-88.7421875
292,-78.3671875
313,-86.3125
335,-73.3984375
359,-67.390625
385,-68.1953125
412,-56.1875
442,-60.921875
474,-75.7421875
508,-74.3125
544,-79.328125
583,-70.734375
625,-71.3203125
670,-69.1796875
718,-78.8203125
769,-73.2734375
825,-71.9296875
884,-71.515625
947,-70.9921875
1.02,-61.625
1.09,-73.625
1.17,-67.65625
1.25,-72.328125
1.34,-67.78125
1.44,-67.6875
1.54,-73.015625
1.65,-69.7578125
1.77,-71.21875
1.89,-64.125
2.03,-62.734375
2.18,-68.34375
2.33,-73.9921875
2.5,-69.625
2.68,-58.125
2.87,-67.75
3.08,-69.2265625
3.3,-61.3828125
3.54,-60.15625
3.79,-63.6875
4.06,-60.7421875
4.35,-58.7421875
4.67,-66.3671875
5.0,-66.9140625
5.36,-68.359375
5.74,-65.953125
6.16,-69.796875
6.6,-66.0078125
7.07,-65.9453125
7.58,-70.5546875
8.12,-74.5078125
8.71,-74.1953125
9.33,-70.8125
10.0,-75.1796875
10.72,-82.3984375
11.49,-90.1328125
12.31,-96.546875
13.2,-94.96875
14.14,-101.140625
15.16,-99.5390625
16.25,-104.90625
17.41,-104.2890625
18.66,-106.90625
20,-128.0
21,-128.0
22,-128.0
24,-128.0
26,-128.0
28,-128.0
30,-128.0
32,-128.0
34,-128.0
36,-128.0
39,-128.0
42,-128.0
45,-128.0
48,-128.0
52,-128.0
55,-128.0
59,-121.40625
63,-123.515625
68,-122.2265625
73,-119.4140625
78,-117.609375
84,-97.484375
90,-110.890625
96,-118.328125
103,-111.84375
110,-104.5546875
118,-103.4296875
127,-92.2421875
136,-95.0234375
146,-89.3515625
156,-88.6953125
167,-68.578125
179,-84.7578125
192,-89.0703125
206,-91.890625
221,-90.125
237,-100.2578125
254,-83.515625
272,-93.1953125
292,-92.1875
313,-91.5
335,-69.2578125
359,-85.6171875
385,-85.8046875
412,-71.5859375
442,-72.6328125
474,-77.859375
508,-81.0234375
544,-88.515625
583,-81.4765625
625,-80.84375
670,-80.75
718,-81.515625
769,-80.9375
825,-76.921875
884,-73.90625
947,-73.7734375
1.02,-71.8984375
1.09,-82.3515625
1.17,-79.5
1.25,-76.0859375
1.34,-69.0625
1.44,-69.0625
1.54,-73.171875
1.65,-68.859375
1.77,-72.8203125
1.89,-68.328125
2.03,-64.84375
2.18,-66.9453125
2.33,-66.390625
2.5,-67.9140625
2.68,-65.09375
2.87,-66.5078125
3.08,-65.9296875
3.3,-65.234375
3.54,-64.4375
3.79,-65.0390625
4.06,-69.1875
4.35,-64.9140625
4.67,-67.265625
5.0,-71.8515625
