Frequency Band,dB Value
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-90.0
42,-90.0
45,-90.0
48,-90.0
52,-90.0
55,-90.0
59,-90.0
63,-90.0
68,-90.0
73,-90.0
78,-90.0
84,-88.5703125
90,-90.0
96,-88.1015625
103,-83.765625
110,-82.0859375
118,-77.3203125
127,-72.8984375
136,-69.1171875
146,-69.1015625
156,-58.2109375
167,-61.6640625
179,-54.1953125
192,-53.0703125
206,-51.2265625
221,-47.578125
237,-46.28125
254,-44.203125
272,-54.1875
292,-65.3125
313,-61.4765625
335,-57.6875
359,-48.6640625
385,-44.953125
412,-46.3125
442,-48.2109375
474,-46.15625
508,-48.265625
544,-54.9453125
583,-57.46875
625,-61.125
670,-53.359375
718,-51.375
769,-54.8203125
825,-54.765625
884,-50.5234375
947,-54.2421875
1020,-54.0546875
1090,-52.015625
1170,-49.859375
1250,-44.8984375
1340,-50.34375
1440,-56.4140625
1540,-44.671875
1650,-47.296875
1770,-42.984375
1890,-41.4375
2030,-49.03125
2180,-51.7109375
2330,-46.671875
2500,-43.28125
2680,-49.4609375
2870,-54.703125
3080,-51.9765625
3300,-54.4609375
3540,-47.2890625
3790,-48.4296875
4060,-49.203125
4350,-46.84375
4670,-43.9609375
5000,-40.296875
5360,-47.9765625
5740,-49.515625
6160,-50.65625
6600,-52.6484375
7070,-51.6953125
7580,-48.046875
8120,-45.7265625
8710,-49.28125
9330,-50.515625
10000,-50.578125
10720,-52.8125
11490,-61.6171875
12310,-66.3984375
13200,-72.0625
14140,-76.921875
15160,-72.859375
16250,-75.46875
17410,-76.25
18660,-75.3203125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-89.7734375
28,-88.3046875
30,-87.1875
32,-85.6328125
34,-84.40625
36,-83.1015625
39,-81.875
42,-79.921875
45,-77.8125
48,-76.3984375
52,-75.5078125
55,-71.734375
59,-70.046875
63,-69.6171875
68,-65.8359375
73,-62.59375
78,-60.359375
84,-54.828125
90,-51.359375
96,-47.15625
103,-44.9921875
110,-43.578125
118,-40.15625
127,-34.484375
136,-28.859375
146,-25.21875
156,-24.6015625
167,-27.640625
179,-26.734375
192,-18.359375
206,-19.0390625
221,-22.3828125
237,-30.046875
254,-26.78125
272,-28.4609375
292,-25.96875
313,-26.7890625
335,-30.546875
359,-18.8203125
385,-9.7578125
412,-6.1015625
442,-14.6796875
474,-22.859375
508,-34.5703125
544,-21.1171875
583,-13.5703125
625,-3.796875
670,-14.546875
718,-14.2890625
769,-11.25
825,-9.28125
884,-11.8359375
947,-14.8125
1020,-11.6953125
1090,-12.09375
1170,-12.5234375
1250,-6.296875
1340,-19.0
1440,-17.15625
1540,-18.4375
1650,-11.2578125
1770,-19.296875
1890,-19.2109375
2030,-19.59375
2180,-21.265625
2330,-19.453125
2500,-23.5703125
2680,-21.7421875
2870,-24.7578125
3080,-26.296875
3300,-16.5625
3540,-18.5625
3790,-17.0859375
4060,-18.75
4350,-21.359375
4670,-18.4140625
5000,-16.6171875
5360,-13.671875
5740,-16.671875
6160,-21.625
6600,-16.703125
7070,-14.953125
7580,-24.5390625
8120,-21.984375
8710,-24.390625
9330,-21.6953125
10000,-19.4140625
10720,-25.2890625
11490,-37.828125
12310,-35.3203125
13200,-44.5234375
14140,-49.765625
15160,-52.984375
16250,-62.765625
17410,-65.1015625
18660,-63.9609375
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-89.6640625
32,-88.4296875
34,-86.8046875
36,-86.109375
39,-83.875
42,-82.484375
45,-81.1171875
48,-79.046875
52,-73.9609375
55,-72.6015625
59,-69.8125
63,-66.984375
68,-64.109375
73,-61.4765625
78,-61.0234375
84,-58.3046875
90,-55.2578125
96,-51.4609375
103,-46.1796875
110,-44.0078125
118,-43.7421875
127,-38.7578125
136,-34.625
146,-32.8515625
156,-28.1171875
167,-24.0
179,-19.2109375
192,-18.5703125
206,-16.3515625
221,-23.734375
237,-32.3125
254,-35.3671875
272,-36.9296875
292,-34.4140625
313,-33.453125
335,-22.3046875
359,-16.5703125
385,-15.140625
412,-2.6015625
442,-13.859375
474,-31.0
508,-13.015625
544,-9.0078125
583,-3.0234375
625,-11.1015625
670,-7.3125
718,-6.1640625
769,-11.390625
825,-19.9453125
884,-19.671875
947,-18.40625
1020,-13.890625
1090,-18.2890625
1170,-6.0703125
1250,-11.8984375
1340,-9.6328125
1440,-8.453125
1540,-19.3046875
1650,-20.3984375
1770,-22.2890625
1890,-20.5078125
2030,-18.84375
2180,-20.140625
2330,-21.828125
2500,-21.8984375
2680,-28.171875
2870,-31.921875
3080,-32.9765625
3300,-30.53125
3540,-32.5390625
3790,-34.7578125
4060,-29.7421875
4350,-30.703125
4670,-28.4609375
5000,-25.3046875
5360,-21.6953125
5740,-26.78125
6160,-23.8515625
6600,-26.5546875
7070,-22.703125
7580,-19.609375
8120,-18.3984375
8710,-17.578125
9330,-17.5390625
10000,-24.2578125
10720,-26.5546875
11490,-32.078125
12310,-36.34375
13200,-44.125
14140,-53.28125
15160,-49.7265625
16250,-60.8359375
17410,-63.1875
18660,-65.953125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-89.359375
36,-88.328125
39,-86.9453125
42,-85.171875
45,-83.7578125
48,-82.2578125
52,-81.0625
55,-79.625
59,-77.9609375
63,-77.65625
68,-76.1328125
73,-70.3984375
78,-72.4921875
84,-70.6484375
90,-60.75
96,-57.7734375
103,-62.28125
110,-58.484375
118,-57.609375
127,-48.75
136,-42.7265625
146,-40.4453125
156,-23.984375
167,-23.921875
179,-22.1328125
192,-17.6484375
206,-21.0859375
221,-38.40625
237,-45.5625
254,-48.8828125
272,-43.5859375
292,-35.296875
313,-24.1328125
335,-17.2421875
359,-13.6328125
385,-3.1796875
412,-7.203125
442,-32.6484375
474,-24.1640625
508,-22.65625
544,-21.78125
583,-21.5
625,-26.0390625
670,-22.0625
718,-20.90625
769,-20.8828125
825,-26.53125
884,-23.1328125
947,-21.484375
1020,-23.09375
1090,-24.2265625
1170,-14.2734375
1250,-18.3046875
1340,-24.8046875
1440,-14.640625
1540,-30.265625
1650,-19.4375
1770,-15.234375
1890,-21.5625
2030,-15.265625
2180,-21.546875
2330,-17.1015625
2500,-19.1328125
2680,-17.375
2870,-19.7578125
3080,-21.46875
3300,-15.7265625
3540,-18.5703125
3790,-19.5390625
4060,-18.125
4350,-16.2265625
4670,-17.3515625
5000,-16.9765625
5360,-13.0546875
5740,-19.53125
6160,-16.1875
6600,-17.8515625
7070,-19.2421875
7580,-22.03125
8120,-23.84375
8710,-20.671875
9330,-22.171875
10000,-22.5859375
10720,-24.6328125
11490,-33.3828125
12310,-31.2421875
13200,-40.453125
14140,-45.703125
15160,-51.6796875
16250,-61.578125
17410,-63.484375
18660,-66.7265625
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-90.0
42,-90.0
45,-90.0
48,-90.0
52,-90.0
55,-90.0
59,-90.0
63,-90.0
68,-90.0
73,-89.3515625
78,-90.0
84,-89.6796875
90,-79.7890625
96,-76.8046875
103,-78.7265625
110,-77.5234375
118,-74.9609375
127,-67.78125
136,-61.7578125
146,-59.4765625
156,-43.015625
167,-42.953125
179,-41.1640625
192,-36.6875
206,-40.1171875
221,-57.4375
237,-64.59375
254,-67.9140625
272,-62.6171875
292,-54.328125
313,-43.171875
335,-36.2734375
359,-32.6640625
385,-22.2109375
412,-26.234375
442,-51.6875
474,-43.1953125
508,-41.6953125
544,-40.8125
583,-40.53125
625,-45.078125
670,-41.1015625
718,-39.9375
769,-39.921875
825,-45.5625
884,-42.1640625
947,-40.515625
1020,-42.125
1090,-43.265625
1170,-33.3046875
1250,-37.34375
1340,-43.8359375
1440,-33.671875
1540,-49.296875
1650,-38.46875
1770,-34.2734375
1890,-40.59375
2030,-34.3046875
2180,-40.578125
2330,-36.1328125
